Epoch, LearningRate, WeightDecay,Loss, LossCount, LossCam, TotalCount, Difference,Overestimate, Underestimate, mae, mse
83,0.000999,0.01,tensor(2.3762, device='cuda:0'),tensor(2.0024, device='cuda:0'),tensor(0.3738, device='cuda:0'),5025.0,63.7629931640625,32.38201171875,31.38097900390625,2.134772777557373,6.5743207931518555,
84,0.000999,0.01,tensor(2.1332, device='cuda:0'),tensor(1.6963, device='cuda:0'),tensor(0.4369, device='cuda:0'),5025.0,66.3304443359375,32.37065185546875,33.95978759765625,2.131948709487915,6.269367218017578,
85,0.000999,0.01,tensor(2.2947, device='cuda:0'),tensor(2.0078, device='cuda:0'),tensor(0.2869, device='cuda:0'),5025.0,68.0201904296875,35.43116455078125,32.58902587890625,2.856826066970825,14.012863159179688,
86,0.000999,0.01,tensor(2.3054, device='cuda:0'),tensor(2.0662, device='cuda:0'),tensor(0.2392, device='cuda:0'),5025.0,64.647197265625,30.35050048828125,34.29669677734375,2.275087833404541,7.019313812255859,
87,0.000999,0.01,tensor(2.6205, device='cuda:0'),tensor(2.2035, device='cuda:0'),tensor(0.4169, device='cuda:0'),5025.0,63.510576171875,29.36670654296875,34.1438671875,2.613877534866333,12.63924789428711,
88,0.000999,0.01,tensor(2.5192, device='cuda:0'),tensor(1.9310, device='cuda:0'),tensor(0.5881, device='cuda:0'),5025.0,66.3674462890625,32.8802978515625,33.4871435546875,1.7081063985824585,5.075119972229004,
89,0.000999,0.01,tensor(2.4752, device='cuda:0'),tensor(1.7578, device='cuda:0'),tensor(0.7174, device='cuda:0'),5025.0,63.740576171875,31.57734375,32.1632275390625,2.1504554748535156,6.482210636138916,
90,0.000999,0.01,tensor(3.4730, device='cuda:0'),tensor(2.5075, device='cuda:0'),tensor(0.9655, device='cuda:0'),5025.0,66.6303173828125,31.072919921875,35.55739990234375,1.184491515159607,2.484722852706909,
91,0.000999,0.01,tensor(2.7600, device='cuda:0'),tensor(2.1831, device='cuda:0'),tensor(0.5769, device='cuda:0'),5025.0,67.2988916015625,31.12354736328125,36.17535888671875,4.127261161804199,23.890583038330078,
92,0.000999,0.01,tensor(2.9682, device='cuda:0'),tensor(2.7117, device='cuda:0'),tensor(0.2564, device='cuda:0'),5025.0,69.1955419921875,34.182607421875,35.01294189453125,2.017430067062378,7.481734275817871,
93,0.000999,0.01,tensor(2.6247, device='cuda:0'),tensor(2.2191, device='cuda:0'),tensor(0.4056, device='cuda:0'),5025.0,66.27896484375,32.12769287109375,34.1512744140625,2.586777687072754,9.248065948486328,
94,0.000999,0.01,tensor(2.9764, device='cuda:0'),tensor(2.3696, device='cuda:0'),tensor(0.6068, device='cuda:0'),5025.0,66.97498046875,31.28656005859375,35.68842529296875,2.5437076091766357,8.49363899230957,
95,0.000999,0.01,tensor(2.3217, device='cuda:0'),tensor(2.0408, device='cuda:0'),tensor(0.2809, device='cuda:0'),5025.0,68.74533203125,35.33147216796875,33.413857421875,2.6318392753601074,9.403587341308594,
96,0.000999,0.01,tensor(2.1538, device='cuda:0'),tensor(1.9153, device='cuda:0'),tensor(0.2386, device='cuda:0'),5025.0,66.573232421875,32.65423828125,33.91899169921875,2.782226085662842,11.207132339477539,
97,0.000999,0.01,tensor(2.5787, device='cuda:0'),tensor(2.2828, device='cuda:0'),tensor(0.2959, device='cuda:0'),5025.0,69.6008837890625,33.37400390625,36.22687744140625,5.096330165863037,33.97125244140625,
98,0.000999,0.01,tensor(2.3752, device='cuda:0'),tensor(1.9409, device='cuda:0'),tensor(0.4343, device='cuda:0'),5025.0,63.683076171875,31.45137451171875,32.2317041015625,1.3752715587615967,3.058551549911499,
99,0.000999,0.01,tensor(2.5284, device='cuda:0'),tensor(1.8006, device='cuda:0'),tensor(0.7279, device='cuda:0'),5025.0,65.3849267578125,31.39052978515625,33.994404296875,1.977317452430725,5.302970886230469,
100,0.000999,0.01,tensor(3.0406, device='cuda:0'),tensor(1.9873, device='cuda:0'),tensor(1.0532, device='cuda:0'),5025.0,66.155400390625,30.60087890625,35.5545166015625,1.804578423500061,4.379334926605225,
